GI2.all.exon	14.71	162488.0
OMIM.all.exon	22.14	164644.0
HI1.all.exon	16.28	175896.0
Prot-cod.all.exon	66.24	463180.0
All-genes.all.exon	61.42	476040.0
Decipher-gain.all.exon	0.72	81228.0
GI3.all.exon	25.86	231540.0
HI2.all.exon	15.05	165616.0
HPO-rec.all.exon	6.71	111684.0
CGD-rec.all.exon	7.68	116484.0
Essential.all.exon	32.11	157252.0
HPO-dom.all.exon	5.73	106588.0
Cancer-loss.all.exon	3.16	93224.0
embryonic-lethal.all.exon	10.26	90536.0
HI3.all.exon	28.67	250652.0
GI1.all.exon	20.42	200988.0
Paralogs.all.exon	2.46	84896.0
phen.all.exon	33.0	281672.0
Cancer-gain.all.exon	2.85	81128.0
Decipher-loss.all.exon	5.57	82472.0
ISCA-gain.all.exon	1.03	81820.0
CGD-dom.all.exon	4.78	101824.0
No-phen.all.exon	30.26	262884.0
Curated-gain.all.exon	2.56	85984.0
Curated-loss.all.exon	4.65	101916.0
ISCA-loss.all.exon	24.85	88996.0
Non-cod.all.exon	3.96	95512.0
