GI2.all.exon	80.15	1031476.0
OMIM.all.exon	80.39	1032228.0
HI1.all.exon	84.3	1033080.0
Prot-cod.all.exon	124.29	1064656.0
All-genes.all.exon	123.66	1065664.0
Decipher-gain.all.exon	23.78	1022556.0
GI3.all.exon	89.1	1039832.0
HI2.all.exon	78.5	1032104.0
HPO-rec.all.exon	69.98	1026256.0
CGD-rec.all.exon	70.73	1027136.0
Essential.all.exon	78.33	1031464.0
HPO-dom.all.exon	68.55	1025220.0
Cancer-loss.all.exon	64.27	1023680.0
embryonic-lethal.all.exon	67.14	1023312.0
HI3.all.exon	94.55	1042452.0
GI1.all.exon	85.16	1035560.0
Paralogs.all.exon	63.77	1022976.0
phen.all.exon	94.96	1044780.0
Cancer-gain.all.exon	42.5	1022628.0
Decipher-loss.all.exon	50.29	1022528.0
ISCA-gain.all.exon	49.03	1022376.0
CGD-dom.all.exon	67.66	1024896.0
No-phen.all.exon	99.98	1043156.0
Curated-gain.all.exon	64.64	1023380.0
Curated-loss.all.exon	69.03	1025016.0
ISCA-loss.all.exon	66.65	1023452.0
Non-cod.all.exon	65.55	1024652.0
