GI2.all.exon	83.86	1031760.0
OMIM.all.exon	83.34	1032124.0
HI1.all.exon	89.09	1033164.0
Prot-cod.all.exon	238.22	1064836.0
All-genes.all.exon	246.03	1066224.0
Decipher-gain.all.exon	13.88	1022056.0
GI3.all.exon	129.62	1039920.0
HI2.all.exon	90.54	1032268.0
HPO-rec.all.exon	53.69	1026396.0
CGD-rec.all.exon	60.63	1026700.0
Essential.all.exon	79.9	1031232.0
HPO-dom.all.exon	53.15	1025164.0
Cancer-loss.all.exon	44.97	1024256.0
embryonic-lethal.all.exon	42.4	1023232.0
HI3.all.exon	137.42	1042272.0
GI1.all.exon	101.79	1036328.0
Paralogs.all.exon	39.42	1022704.0
phen.all.exon	144.02	1044912.0
Cancer-gain.all.exon	17.29	1022396.0
Decipher-loss.all.exon	21.95	1022664.0
ISCA-gain.all.exon	23.16	1022676.0
CGD-dom.all.exon	52.42	1025088.0
No-phen.all.exon	142.83	1043100.0
Curated-gain.all.exon	36.97	1023088.0
Curated-loss.all.exon	53.04	1025136.0
ISCA-loss.all.exon	41.86	1023412.0
Non-cod.all.exon	48.47	1024664.0
