GI2.all.exon	13.56	162408.0
OMIM.all.exon	14.47	163896.0
HI1.all.exon	15.68	175648.0
Prot-cod.all.exon	58.91	463020.0
All-genes.all.exon	61.79	475992.0
Decipher-gain.all.exon	0.73	80860.0
GI3.all.exon	24.45	231544.0
HI2.all.exon	14.61	165456.0
HPO-rec.all.exon	5.94	111248.0
CGD-rec.all.exon	6.78	116084.0
Essential.all.exon	13.79	156904.0
HPO-dom.all.exon	4.71	106608.0
Cancer-loss.all.exon	3.19	93088.0
embryonic-lethal.all.exon	2.49	89836.0
HI3.all.exon	27.62	251012.0
GI1.all.exon	19.23	200924.0
Paralogs.all.exon	1.73	84816.0
phen.all.exon	31.97	281440.0
Cancer-gain.all.exon	0.74	81464.0
Decipher-loss.all.exon	1.08	82348.0
ISCA-gain.all.exon	1.06	82316.0
CGD-dom.all.exon	4.65	101076.0
No-phen.all.exon	29.79	262960.0
Curated-gain.all.exon	2.09	85656.0
Curated-loss.all.exon	4.68	101836.0
ISCA-loss.all.exon	2.22	88864.0
Non-cod.all.exon	3.49	95592.0
